county,precinct,office,district,candidate,party,votes
Abbeville,Abbeville No. 1,STRAIGHT PARTY,,Democratic,DEM,121
Abbeville,Abbeville No. 2,STRAIGHT PARTY,,Democratic,DEM,227
Abbeville,Abbeville No. 3,STRAIGHT PARTY,,Democratic,DEM,156
Abbeville,Abbeville No. 4,STRAIGHT PARTY,,Democratic,DEM,69
Abbeville,Antreville,STRAIGHT PARTY,,Democratic,DEM,71
Abbeville,Broadmouth,STRAIGHT PARTY,,Democratic,DEM,44
Abbeville,Calhoun Falls,STRAIGHT PARTY,,Democratic,DEM,367
Abbeville,Cold Springs,STRAIGHT PARTY,,Democratic,DEM,55
Abbeville,Donald's,STRAIGHT PARTY,,Democratic,DEM,33
Abbeville,Due West,STRAIGHT PARTY,,Democratic,DEM,162
Abbeville,Hall's Store,STRAIGHT PARTY,,Democratic,DEM,84
Abbeville,Keowee,STRAIGHT PARTY,,Democratic,DEM,65
Abbeville,Lowndesville,STRAIGHT PARTY,,Democratic,DEM,62
Abbeville,Lebanon,STRAIGHT PARTY,,Democratic,DEM,80
Abbeville,Smithville,STRAIGHT PARTY,,Democratic,DEM,60
Abbeville,Absentee,STRAIGHT PARTY,,Democratic,DEM,553
Abbeville,Emergency,STRAIGHT PARTY,,Democratic,DEM,0
Abbeville,Failsafe,STRAIGHT PARTY,,Democratic,DEM,0
Abbeville,Provisional,STRAIGHT PARTY,,Democratic,DEM,3
Abbeville,Failsafe Provisional,STRAIGHT PARTY,,Democratic,DEM,9
Abbeville,Abbeville No. 1,STRAIGHT PARTY,,Working Families,WFM,4
Abbeville,Abbeville No. 2,STRAIGHT PARTY,,Working Families,WFM,4
Abbeville,Abbeville No. 3,STRAIGHT PARTY,,Working Families,WFM,3
Abbeville,Abbeville No. 4,STRAIGHT PARTY,,Working Families,WFM,1
Abbeville,Antreville,STRAIGHT PARTY,,Working Families,WFM,2
Abbeville,Broadmouth,STRAIGHT PARTY,,Working Families,WFM,1
Abbeville,Calhoun Falls,STRAIGHT PARTY,,Working Families,WFM,4
Abbeville,Cold Springs,STRAIGHT PARTY,,Working Families,WFM,4
Abbeville,Donald's,STRAIGHT PARTY,,Working Families,WFM,1
Abbeville,Due West,STRAIGHT PARTY,,Working Families,WFM,1
Abbeville,Hall's Store,STRAIGHT PARTY,,Working Families,WFM,1
Abbeville,Keowee,STRAIGHT PARTY,,Working Families,WFM,3
