county,precinct,office,district,party,candidate,votes
Abbeville,Abbeville No. 1,STRAIGHT PARTY,,DEM,Democratic,139
Abbeville,Abbeville No. 2,STRAIGHT PARTY,,DEM,Democratic,248
Abbeville,Abbeville No. 3,STRAIGHT PARTY,,DEM,Democratic,134
Abbeville,Abbeville No. 4,STRAIGHT PARTY,,DEM,Democratic,82
Abbeville,Antreville,STRAIGHT PARTY,,DEM,Democratic,72
Abbeville,Broadmouth,STRAIGHT PARTY,,DEM,Democratic,41
Abbeville,Calhoun Falls,STRAIGHT PARTY,,DEM,Democratic,401
Abbeville,Cold Springs,STRAIGHT PARTY,,DEM,Democratic,48
Abbeville,Donalds,STRAIGHT PARTY,,DEM,Democratic,22
Abbeville,Due West,STRAIGHT PARTY,,DEM,Democratic,155
Abbeville,Hall's Store,STRAIGHT PARTY,,DEM,Democratic,83
Abbeville,Keowee,STRAIGHT PARTY,,DEM,Democratic,71
Abbeville,Lowndesville,STRAIGHT PARTY,,DEM,Democratic,55
Abbeville,Lebanon,STRAIGHT PARTY,,DEM,Democratic,82
Abbeville,Absentee,STRAIGHT PARTY,,DEM,Democratic,903
Abbeville,Provisional,STRAIGHT PARTY,,DEM,Democratic,12
Abbeville,Failsafe Provisional,STRAIGHT PARTY,,DEM,Democratic,10
Abbeville,Abbeville No. 1,STRAIGHT PARTY,,WFM,Working Families,6
Abbeville,Abbeville No. 2,STRAIGHT PARTY,,WFM,Working Families,7
Abbeville,Abbeville No. 3,STRAIGHT PARTY,,WFM,Working Families,1
Abbeville,Antreville,STRAIGHT PARTY,,WFM,Working Families,2
Abbeville,Broadmouth,STRAIGHT PARTY,,WFM,Working Families,2
Abbeville,Calhoun Falls,STRAIGHT PARTY,,WFM,Working Families,10
Abbeville,Cold Springs,STRAIGHT PARTY,,WFM,Working Families,1
Abbeville,Donalds,STRAIGHT PARTY,,WFM,Working Families,1
Abbeville,Due West,STRAIGHT PARTY,,WFM,Working Families,2
Abbeville,Hall's Store,STRAIGHT PARTY,,WFM,Working Families,1
Abbeville,Keowee,STRAIGHT PARTY,,WFM,Working Families,6
Abbeville,Lowndesville,STRAIGHT PARTY,,WFM,Working Families,1
Abbeville,Lebanon,STRAIGHT PARTY,,WFM,Working Families,2
Abbeville,Absentee,STRAIGHT PARTY,,WFM,Working Families,12
Abbeville,Abbeville No. 1,STRAIGHT PARTY,,CON,Constitution,1
Abbeville,Broadmouth,STRAIGHT PARTY,,CON,Constitution,1
Abbeville,Due West,STRAIGHT PARTY,,CON,Constitution,2
Abbeville,Keowee,STRAIGHT PARTY,,CON,Constitution,2
Abbeville,Lebanon,STRAIGHT PARTY,,CON,Constitution,2
Abbeville,Absentee,STRAIGHT PARTY,,CON,Constitution,6
Abbeville,Abbeville No. 1,STRAIGHT PARTY,,IND,Independence,5
Abbeville,Abbeville No. 2,STRAIGHT PARTY,,IND,Independence,4
Abbeville,Abbeville No. 3,STRAIGHT PARTY,,IND,Independence,2
Abbeville,Abbeville No. 4,STRAIGHT PARTY,,IND,Independence,3
Abbeville,Antreville,STRAIGHT PARTY,,IND,Independence,2
Abbeville,Broadmouth,STRAIGHT PARTY,,IND,Independence,2
Abbeville,Calhoun Falls,STRAIGHT PARTY,,IND,Independence,6
Abbeville,Cold Springs,STRAIGHT PARTY,,IND,Independence,2
Abbeville,Donalds,STRAIGHT PARTY,,IND,Independence,1
Abbeville,Hall's Store,STRAIGHT PARTY,,IND,Independence,1
Abbeville,Keowee,STRAIGHT PARTY,,IND,Independence,12
Abbeville,Lowndesville,STRAIGHT PARTY,,IND,Independence,2
Abbeville,Lebanon,STRAIGHT PARTY,,IND,Independence,3
Abbeville,Absentee,STRAIGHT PARTY,,IND,Independence,7
Abbeville,Abbeville No. 3,STRAIGHT PARTY,,GRN,Green,1
Abbeville,Antreville,STRAIGHT PARTY,,GRN,Green,1
Abbeville,Broadmouth,STRAIGHT PARTY,,GRN,Green,3
Abbeville,Calhoun Falls,STRAIGHT PARTY,,GRN,Green,3
Abbeville,Cold Springs,STRAIGHT PARTY,,GRN,Green,2
Abbeville,Due West,STRAIGHT PARTY,,GRN,Green,1
Abbeville,Keowee,STRAIGHT PARTY,,GRN,Green,1
Abbeville,Absentee,STRAIGHT PARTY,,GRN,Green,4
Abbeville,Abbeville No. 1,STRAIGHT PARTY,,REP,Republican,207
Abbeville,Abbeville No. 2,STRAIGHT PARTY,,REP,Republican,103
Abbeville,Abbeville No. 3,STRAIGHT PARTY,,REP,Republican,90
Abbeville,Abbeville No. 4,STRAIGHT PARTY,,REP,Republican,101
Abbeville,Antreville,STRAIGHT PARTY,,REP,Republican,209
Abbeville,Broadmouth,STRAIGHT PARTY,,REP,Republican,99
Abbeville,Calhoun Falls,STRAIGHT PARTY,,REP,Republican,177
Abbeville,Cold Springs,STRAIGHT PARTY,,REP,Republican,107
Abbeville,Donalds,STRAIGHT PARTY,,REP,Republican,104
Abbeville,Due West,STRAIGHT PARTY,,REP,Republican,198
Abbeville,Hall's Store,STRAIGHT PARTY,,REP,Republican,103
Abbeville,Keowee,STRAIGHT PARTY,,REP,Republican,221
Abbeville,Lowndesville,STRAIGHT PARTY,,REP,Republican,222
Abbeville,Lebanon,STRAIGHT PARTY,,REP,Republican,128
Abbeville,Absentee,STRAIGHT PARTY,,REP,Republican,596
Abbeville,Provisional,STRAIGHT PARTY,,REP,Republican,5
Abbeville,Failsafe Provisional,STRAIGHT PARTY,,REP,Republican,4
Abbeville,Abbeville No. 1,STRAIGHT PARTY,,AMR,American,3
Abbeville,Abbeville No. 2,STRAIGHT PARTY,,AMR,American,3
Abbeville,Abbeville No. 3,STRAIGHT PARTY,,AMR,American,2
Abbeville,Abbeville No. 4,STRAIGHT PARTY,,AMR,American,3
Abbeville,Antreville,STRAIGHT PARTY,,AMR,American,2
Abbeville,Broadmouth,STRAIGHT PARTY,,AMR,American,2
Abbeville,Calhoun Falls,STRAIGHT PARTY,,AMR,American,2
Abbeville,Cold Springs,STRAIGHT PARTY,,AMR,American,1
