GEOID20,Name,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,county_fips,county_name
45079000125, Ward 25                           ,            1172,           344,           815,            1078,           289,           789,            1325,           431,           807,           1323,          245,         1055,           1151,          485,          667,          1120,         359,         733,               1275,              407,              839,            1357,           482,           843,           1367,          448,          915,45079,Richland
45023000001, Baldwin Mill                      ,             777,           472,           291,             833,           576,           257,             651,           409,           235,            602,          402,          176,            461,          292,          162,           470,         292,         161,                633,              387,              235,             808,           441,           363,            813,          470,          324,45023,Chester
45023000003, Beckhamville                      ,             762,           426,           323,             883,           518,           365,             835,           426,           390,            810,          425,          365,            600,          291,          308,           602,         259,         330,                695,              325,              359,             665,           272,           389,            671,          286,          374,45023,Chester
45023000011, Fort Lawn                         ,             991,           503,           467,             978,           501,           477,            1162,           475,           663,           1116,          473,          619,            797,          328,          477,           797,         301,         487,               1025,              404,              607,            1135,           408,           717,           1137,          430,          684,45023,Chester
45079000497, Sandlapper                        ,             960,           765,           188,            1180,           987,           193,            1771,          1366,           346,           1738,         1213,          490,           1711,         1453,          255,          1722,        1400,         275,               1944,             1560,              354,            2354,          1941,           391,           2357,         1964,          374,45079,Richland
45079000509, Valley State Park                 ,            1191,           987,           193,            1557,          1323,           234,            1822,          1528,           244,           1780,         1388,          368,           1700,         1517,          173,          1718,        1478,         179,               1988,             1717,              244,            2451,          2176,           245,           2458,         2206,          236,45079,Richland
45027000016, New Zion                          ,             370,           154,           213,             476,           215,           261,             439,           175,           259,            434,          177,          251,            333,          143,          191,           333,         136,         195,                373,              148,              224,             360,           130,           229,            359,          132,          226,45027,Clarendon
45027000023, Turbeville                        ,             871,           327,           536,             960,           386,           574,             918,           282,           628,            908,          276,          618,            652,          217,          434,           652,         207,         437,                768,              233,              528,             746,           210,           530,            746,          215,          524,45027,Clarendon
45027000019, Sardina-Gable                     ,             344,           267,            73,             352,           251,           101,             394,           282,           111,            380,          268,          108,            267,          189,           81,           267,         189,          81,                292,              202,               89,             224,           146,            78,            221,          145,           74,45027,Clarendon
45027000006, Davis Station                     ,            1155,           612,           524,            1112,           568,           544,            1132,           517,           587,           1104,          491,          586,            997,          480,          527,           995,         468,         519,               1173,              530,              629,            1404,           615,           780,           1404,          621,          771,45027,Clarendon
45027000010, Jordan                            ,            1494,           565,           907,            1440,           533,           907,            1264,           396,           844,           1198,          343,          824,           1114,          344,          773,          1118,         311,         772,               1401,              414,              970,            1889,           547,          1329,           1889,          574,         1279,45027,Clarendon
45027000020, Summerton No. 1                   ,            1295,           660,           605,            1322,           676,           646,            1228,           518,           680,           1170,          455,          699,           1084,          481,          615,          1091,         454,         615,               1344,              566,              762,            1753,           755,           985,           1747,          758,          973,45027,Clarendon
45027000021, Summerton No. 2                   ,             433,           356,            70,             297,           252,            45,             239,           180,            54,            233,          170,           55,            202,          162,           40,           201,         161,          38,                245,              193,               48,             293,           244,            49,            293,          243,           49,45027,Clarendon
45027000013, Manning No. 3                     ,             945,           297,           635,             962,           341,           621,             808,           284,           497,            785,          262,          514,            675,          272,          409,           672,         250,         414,                860,              328,              520,            1119,           453,           655,           1125,          466,          636,45027,Clarendon
45079000506, Trenholm Road                     ,             703,           237,           456,             762,           298,           464,             828,           340,           447,            805,          244,          546,            657,          321,          340,           658,         279,         368,                771,              321,              435,             835,           382,           442,            838,          366,          462,45079,Richland
45079000410, Brandon 1                         ,            1117,           808,           296,             979,           751,           228,            1262,           910,           298,           1221,          812,          369,           1017,          827,          190,          1021,         793,         199,               1258,              950,              286,            1514,          1152,           344,           1514,         1175,          325,45079,Richland
45079000460, Midway                            ,            1778,          1457,           311,            1583,          1317,           266,            1599,          1301,           233,           1591,         1239,          317,           1257,         1093,          160,          1267,        1050,         169,               1561,             1309,              224,            1823,          1574,           234,           1836,         1594,          233,45079,Richland
45059000007, BAILEY                            ,             723,           375,           333,             693,           368,           325,             666,           250,           397,            641,          210,          414,            516,          210,          307,           512,         186,         316,                649,              231,              406,             772,           263,           503,            772,          272,          486,45059,Laurens
45079000433, Old Friarsgate                    ,            1055,           542,           500,             819,           458,           361,             974,           501,           423,            955,          462,          459,            793,          490,          299,           794,         464,         311,                935,              533,              381,            1037,           627,           400,           1036,          634,          388,45079,Richland
45079000503, Spring Valley West                ,            1840,          1386,           441,            1470,          1158,           312,            1695,          1285,           334,           1677,         1221,          413,           1490,         1217,          272,          1506,        1158,         299,               1752,             1365,              352,            2064,          1643,           389,           2060,         1662,          383,45079,Richland
45089000022, Mount Vernon                      ,             317,           218,            91,             331,           238,            93,             299,           195,            97,            292,          180,          112,            218,          133,           81,           217,         132,          81,                264,              168,               94,             285,           181,           100,            288,          197,           90,45089,Williamsburg
45089000014, Kingstree No. 1                   ,            1834,           845,           951,            1848,           924,           924,            1734,           863,           833,           1685,          794,          875,           1335,          696,          643,          1334,         671,         641,               1717,              854,              846,            2102,          1028,          1048,           2101,         1048,         1032,45089,Williamsburg
45035000049, Dorchester                        ,             769,           237,           523,             618,           216,           402,             604,           204,           351,            583,          150,          421,            555,          217,          339,           551,         203,         332,                659,              250,              392,             823,           355,           449,            826,          363,          455,45035,Dorchester
45035000092, Dorchester 2                      ,             611,           188,           414,             698,           181,           517,             624,           160,           406,            620,          100,          503,            613,          203,          409,           607,         191,         401,                701,              207,              478,             875,           293,           563,            882,          292,          585,45035,Dorchester
45035000043, Knightsville                      ,             585,           194,           378,             630,           201,           429,             802,           245,           524,            790,          187,          582,            579,          224,          353,           569,         212,         343,                777,              252,              507,             969,           330,           619,            966,          338,          606,45035,Dorchester
45035000107, Cypress 2                         ,             232,            74,           152,             469,           158,           311,             488,           118,           342,            481,          100,          376,            350,          126,          225,           349,         115,         221,                495,              149,              331,             655,           205,           430,            653,          221,          406,45035,Dorchester
45035000073, King's Grant                      ,             864,           324,           532,             958,           384,           574,            1202,           463,           674,           1182,          355,          805,           1096,          527,          568,          1094,         498,         568,               1188,              510,              656,            1278,           604,           660,           1279,          610,          656,45035,Dorchester
