GEOID20,Name,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,county_fips,county_name
45079000401, Ardincaple                        ,             317,           308,             6,             336,           335,             1,             330,           314,            10,            328,          304,           19,            291,          285,            6,           292,         275,           8,                313,              302,               10,             327,           312,            12,            330,          317,           13,45079,Richland
45079000132, Ward 32                           ,             577,           555,            13,             589,           589,             0,             652,           632,             9,            624,          577,           40,            325,          317,            9,           326,         317,           3,                514,              498,               11,             590,           566,            11,            588,          575,           10,45079,Richland
45079000458, Meadowlake                        ,            1618,          1571,            36,            1548,          1524,            24,            1273,          1227,            24,           1253,         1181,           57,           1084,         1049,           29,          1084,        1033,          19,               1286,             1229,               44,            1511,          1425,            68,           1509,         1444,           54,45079,Richland
45079000446, Keels 2                           ,             978,           842,           126,             797,           721,            76,             835,           739,            74,            824,          699,          105,            682,          641,           41,           692,         635,          41,                826,              751,               62,             955,           883,            55,            955,          906,           42,45079,Richland
45079000129, Ward 29                           ,            1014,           916,            85,             955,           896,            59,             922,           845,            44,            908,          790,           95,            652,          624,           22,           652,         607,          22,                813,              757,               44,             889,           826,            53,            889,          852,           37,45079,Richland
45071000005, Newberry Ward 4                   ,             346,           298,            40,             358,           318,            40,             326,           276,            44,            315,          256,           55,            268,          235,           35,           269,         235,          28,                314,              267,               44,             348,           290,            58,            347,          293,           53,45071,Newberry
45071000020, Johnstone                         ,             357,            99,           250,             318,           109,           209,             393,           129,           253,            371,          126,          235,            278,           98,          172,           278,          82,         186,                355,              119,              229,             410,           138,           267,            413,          145,          257,45071,Newberry
45071000001, Newberry Ward 1                   ,             271,           144,           121,             275,           165,           110,             245,           134,           102,            247,          130,          110,            202,          110,           90,           201,         102,          90,                242,              130,              110,             296,           157,           137,            297,          158,          137,45071,Newberry
45071000034, Peak                              ,             109,            21,            85,              96,            12,            84,             112,            26,            81,            107,           13,           88,             93,           33,           56,            90,          26,          62,                100,               26,               73,             112,            32,            79,            112,           32,           79,45071,Newberry
45071000040, Stoney Hill                       ,             560,           111,           442,             557,           111,           446,             620,            88,           506,            591,           85,          488,            506,           99,          401,           504,          88,         401,                592,               97,              483,             672,           111,           550,            670,          110,          548,45071,Newberry
45071000015, Fairview                          ,            1089,           258,           814,            1113,           245,           868,            1166,           209,           916,           1140,          180,          920,           1058,          266,          796,          1062,         228,         815,               1242,              247,              968,            1505,           307,          1183,           1512,          305,         1175,45071,Newberry
45079000448, Kelly Mill                        ,             643,           290,           339,             854,           416,           438,            1339,           726,           568,           1330,          656,          651,           1129,          736,          389,          1130,         710,         389,               1412,              860,              532,            1789,          1159,           613,           1794,         1172,          600,45079,Richland
45079000126, Ward 26                           ,             988,           558,           417,            1053,           592,           461,            1042,           660,           304,           1026,          567,          430,            714,          532,          178,           710,         471,         210,                919,              601,              292,            1004,           687,           302,           1004,          700,          297,45079,Richland
45079000483, Pontiac 1                         ,             972,           438,           516,             958,           543,           415,            1521,           839,           637,           1495,          707,          762,           1337,          816,          512,          1343,         784,         516,               1611,              916,              675,            2017,          1178,           819,           2021,         1175,          834,45079,Richland
45071000002, Newberry Ward 2                   ,             705,           194,           494,             656,           214,           442,             639,           206,           381,            624,          173,          432,            569,          240,          318,           556,         210,         343,                649,              230,              398,             757,           290,           451,            761,          287,          464,45071,Newberry
45071000019, Kinards-Jalapa                    ,             379,           124,           250,             354,           128,           226,             373,           108,           258,            363,          105,          251,            264,           77,          189,           270,          78,         186,                333,               92,              239,             382,            98,           283,            381,           97,          283,45071,Newberry
45071000042, St. Phillips-Jolly Street         ,             780,           276,           493,             783,           291,           492,             817,           267,           521,            809,          259,          515,            590,          232,          354,           590,         216,         363,                745,              257,              473,             842,           286,           548,            840,          290,          541,45071,Newberry
45071000027, Mt. Bethel-Garmany                ,             792,           415,           359,             754,           426,           328,             761,           413,           332,            730,          378,          323,            628,          348,          269,           628,         342,         270,                741,              402,              329,             873,           469,           399,            876,          476,          390,45071,Newberry
45079000484, Pontiac 2                         ,             727,           327,           386,             355,           200,           155,             956,           425,           470,            922,          332,          563,            986,          562,          424,           980,         513,         441,               1312,              714,              573,            2007,          1230,           745,           2014,         1219,          781,45079,Richland
45079000480, Pine Lakes 2                      ,            1005,           918,            81,             988,           920,            68,             867,           766,            77,            845,          715,          113,            792,          731,           64,           794,         711,          59,                944,              849,               82,            1184,          1076,            95,           1183,         1086,           93,45079,Richland
45079000102, Ward 2                            ,             383,           314,            62,             442,           369,            73,             487,           392,            81,            463,          344,          113,            318,          277,           39,           317,         267,          47,                417,              339,               71,             470,           378,            73,            470,          390,           74,45079,Richland
45079000455, Lykesland                         ,            1259,           749,           495,            1220,           807,           413,            1212,           813,           350,           1187,          724,          433,           1046,          775,          266,          1033,         733,         279,               1225,              868,              340,            1463,          1075,           368,           1461,         1065,          384,45079,Richland
45079000442, Hopkins 2                         ,            1306,          1188,           105,            1081,           994,            87,             854,           718,           113,            826,          668,          144,            850,          742,          105,           850,         720,         111,                989,              849,              130,            1284,          1119,           152,           1282,         1125,          147,45079,Richland
45079000403, Ballentine 2                      ,             945,           256,           681,            1322,           368,           954,            1224,           275,           892,           1199,          204,          963,           1079,          320,          759,          1075,         289,         765,               1302,              346,              932,            1612,           494,          1093,           1613,          490,         1112,45079,Richland
45079000441, Hopkins 1                         ,            1108,          1004,            88,             906,           838,            68,             811,           718,            79,            784,          665,          108,            745,          682,           67,           746,         676,          66,                868,              772,               89,            1066,           945,           110,           1067,          950,          112,45079,Richland
45079000478, Pine Grove                        ,            1151,          1008,           138,            1096,          1004,            92,            1097,           963,           111,           1075,          897,          157,            878,          790,           88,           881,         768,          88,               1019,              890,              114,            1095,           957,           126,           1096,          967,          118,45079,Richland
45079000413, Bridge Creek                      ,            1310,           911,           396,            1270,           962,           308,            1395,          1060,           296,           1369,          945,          406,           1281,         1033,          242,          1278,         995,         257,               1459,             1136,              305,            1723,          1389,           318,           1731,         1405,          314,45079,Richland
45079000452, Lincolnshire                      ,            1648,          1610,            25,            1619,          1608,            11,            1445,          1394,            29,           1414,         1326,           77,           1097,         1080,           16,          1111,        1071,          15,               1301,             1262,               30,            1393,          1339,            41,           1395,         1369,           25,45079,Richland
45079000440, Harbison 2                        ,             904,           556,           336,             841,           519,           322,             925,           545,           323,            915,          522,          371,            735,          535,          197,           728,         496,         211,                888,              589,              277,            1000,           712,           276,           1004,          721,          270,45079,Richland
45079000492, Riversprings 2                    ,            1083,           434,           640,            1100,           443,           657,            1107,           545,           514,           1083,          446,          610,            865,          512,          353,           865,         483,         364,               1035,              541,              471,            1144,           625,           495,           1144,          634,          488,45079,Richland
45079000109, Ward 9                            ,             819,           798,             6,             885,           875,            10,             646,           610,            20,            624,          564,           50,            431,          411,            8,           437,         410,          10,                524,              497,               21,             509,           485,            20,            511,          490,           18,45079,Richland
45079000449, Killian                           ,             876,           558,           308,             976,           647,           329,            1406,           905,           438,           1367,          784,          543,           1275,          956,          313,          1279,         923,         332,               1612,             1155,              431,            2176,          1669,           481,           2180,         1695,          462,45079,Richland
45079000408, Blythewood 3                      ,             966,           313,           643,            1128,           460,           668,            1609,           805,           731,           1578,          678,          859,           1500,          929,          561,          1502,         873,         579,               1787,             1037,              718,            2281,          1460,           792,           2278,         1490,          773,45079,Richland
45079000501, Spring Hill                       ,            1063,           251,           793,            1544,           314,          1230,            1618,           300,          1252,           1585,          238,         1313,           1396,          333,         1063,          1393,         269,        1107,               1732,              342,             1355,            2203,           455,          1708,           2209,          470,         1703,45079,Richland
45079000400, Arcadia                           ,            1148,           582,           545,            1075,           557,           518,            1048,           582,           391,           1025,          454,          554,            950,          577,          364,           947,         531,         393,               1065,              608,              435,            1225,           743,           449,           1227,          750,          468,45079,Richland
45079000513, Whitewell                         ,            1230,          1065,           155,            1124,          1020,           104,            1193,          1037,           113,           1162,          983,          162,            740,          660,           78,           743,         651,          75,                963,              840,              106,             975,           848,           107,            978,          872,           99,45079,Richland
45071000007, Newberry Ward 5                   ,             355,           296,            49,             432,           386,            46,             434,           374,            45,            415,          364,           44,            263,          227,           37,           264,         225,          33,                358,              309,               44,             385,           331,            49,            386,          339,           45,45071,Newberry
45071000008, Newberry Ward 6                   ,             693,           322,           361,             678,           322,           356,             647,           314,           304,            637,          271,          352,            540,          265,          271,           536,         242,         277,                671,              317,              345,             845,           403,           430,            850,          415,          425,45071,Newberry
45079000123, Ward 23                           ,             745,           464,           267,             742,           457,           285,             806,           522,           226,            786,          423,          342,            622,          436,          182,           616,         396,         201,                713,              466,              230,             731,           508,           213,            739,          506,          230,45079,Richland
45079000457, Meadowfield                       ,            1382,           574,           793,            1205,           480,           725,            1178,           528,           575,           1159,          426,          715,           1083,          575,          509,          1083,         504,         550,               1216,              572,              614,            1390,           705,           647,           1394,          697,          685,45079,Richland
45079000417, Dennyside                         ,             911,           548,           355,             974,           620,           354,             965,           532,           320,            959,          505,          429,            677,          426,          252,           674,         402,         251,                792,              465,              295,             745,           459,           261,            748,          478,          259,45079,Richland
45079000118, Ward 18                           ,             914,           771,           132,             896,           772,           124,             907,           774,           107,            890,          727,          150,            618,          547,           69,           619,         526,          72,                770,              662,               96,             808,           692,            99,            807,          706,           94,45079,Richland
45079000426, Fairlawn                          ,            1869,          1482,           367,            1882,          1577,           305,            1722,          1366,           293,           1689,         1247,          415,           1505,         1282,          220,          1512,        1258,         220,               1803,             1470,              305,            2201,          1831,           337,           2201,         1857,          334,45079,Richland
45079000464, North Springs 2                   ,            1959,          1079,           866,            1804,          1076,           728,            1722,           981,           640,           1696,          814,          844,           1607,         1079,          528,          1601,        1008,         556,               1873,             1159,              679,            2311,          1531,           754,           2319,         1537,          763,45079,Richland
45079000114, Ward 14                           ,            1239,           712,           511,            1113,           609,           504,            1286,           786,           408,           1256,          564,          651,           1123,          778,          345,          1113,         681,         404,               1224,              742,              450,            1287,           830,           425,           1297,          827,          460,45079,Richland
45079000467, Oak Pointe 2                      ,             576,           277,           291,             500,           240,           260,             589,           224,           328,            575,          195,          368,            475,          240,          235,           469,         211,         246,                560,              246,              301,             626,           303,           311,            621,          300,          316,45079,Richland
45071000039, Silverstreet                      ,             579,           221,           345,             543,           212,           331,             533,           173,           342,            519,          165,          338,            416,          163,          249,           419,         138,         268,                518,              177,              332,             588,           199,           386,            586,          202,          377,45071,Newberry
45071000013, Chappells                         ,             457,           198,           246,             449,           180,           269,             510,           159,           334,            504,          152,          344,            404,          147,          251,           402,         138,         251,                486,              161,              317,             555,           184,           364,            554,          189,          355,45071,Newberry
45071000036, Prosperity City                   ,             527,           252,           264,             542,           260,           282,             546,           222,           310,            527,          210,          301,            462,          210,          241,           449,         183,         250,                528,              223,              295,             599,           264,           322,            603,          275,          318,45071,Newberry
45071000051, Prosperity Outside                ,             782,           373,           394,             700,           336,           364,             690,           281,           391,            665,          268,          380,            438,          191,          248,           442,         174,         253,                632,              251,              369,             787,           290,           487,            786,          303,          468,45071,Newberry
45071000028, Consolidated Number 5             ,             837,           284,           544,             776,           260,           516,             853,           236,           586,            817,          188,          606,            609,          221,          390,           607,         191,         403,                784,              231,              539,             903,           267,           623,            903,          276,          612,45071,Newberry
45079000462, Monticello                        ,            1285,           752,           524,            1129,           677,           452,            1151,           693,           431,           1121,          619,          479,            901,          527,          358,           898,         520,         350,               1130,              673,              444,            1369,           828,           527,           1373,          839,          517,45079,Richland
45079000113, Ward 13                           ,            1466,           822,           611,            1382,           785,           597,            1612,          1038,           460,           1572,          815,          724,           1374,         1045,          330,          1355,         913,         403,               1513,              998,              482,            1591,          1083,           475,           1593,         1076,          500,45079,Richland
45079000494, Riverwalk                         ,            2144,          1249,           872,            1775,          1105,           670,            1874,          1132,           650,           1837,          999,          792,           1685,         1088,          594,          1688,        1016,         616,               1951,             1184,              726,            2312,          1428,           848,           2317,         1441,          849,45079,Richland
45079000450, Kingswood                         ,            2000,          1702,           280,            1874,          1670,           204,            1949,          1672,           226,           1901,         1536,          338,           1518,         1328,          194,          1521,        1288,         195,               1818,             1544,              251,            2019,          1717,           282,           2024,         1745,          264,45079,Richland
45079000459, McEntire                          ,             641,           329,           307,             626,           352,           274,             542,           298,           224,            532,          278,          248,            466,          302,          162,           465,         288,         165,                551,              330,              215,             660,           411,           243,            660,          412,          243,45079,Richland
45079000406, Blythewood 1                      ,             814,           208,           588,             854,           195,           659,            1234,           363,           807,           1196,          264,          893,           1168,          472,          691,          1165,         418,         725,               1410,              508,              877,            1854,           772,          1060,           1857,          770,         1072,45079,Richland
45079000430, South Forest Acres                ,            1061,           408,           634,            1045,           389,           656,            1148,           496,           591,           1141,          347,          774,           1036,          535,          507,          1025,         452,         561,               1154,              502,              631,            1288,           607,           659,           1303,          590,          704,45079,Richland
45079000131, Ward 31                           ,             670,           625,            36,             746,           729,            17,             636,           607,            16,            621,          579,           36,            427,          403,           16,           431,         399,           9,                553,              528,               18,             621,           596,            18,            619,          599,           18,45079,Richland
45079000103, Ward 3                            ,            1027,           706,           298,            1092,           778,           314,            1190,           800,           288,           1165,          672,          456,            900,          715,          183,           890,         639,         224,               1048,              738,              276,            1069,           791,           249,           1072,          804,          263,45079,Richland
45079000405, Bluff                             ,            1641,          1592,            38,            1570,          1554,            16,            1313,          1253,            41,           1291,         1206,           76,           1074,         1043,           34,          1086,        1033,          35,               1242,             1183,               49,            1352,          1280,            58,           1351,         1296,           52,45079,Richland
45079000415, College Place                     ,            1287,          1221,            56,            1202,          1164,            38,            1003,           955,            27,            984,          904,           67,            715,          684,           18,           723,         675,          22,                885,              845,               32,             965,           923,            38,            969,          937,           30,45079,Richland
45079000427, Fairwold                          ,             684,           666,             8,             651,           649,             2,             567,           554,            11,            560,          531,           27,            452,          442,            7,           455,         427,           7,                536,              523,               10,             599,           585,            11,            598,          588,            7,45079,Richland
45079000507, Trinity                           ,             990,           623,           352,             949,           653,           296,             835,           538,           277,            799,          471,          306,            727,          516,          210,           722,         496,         207,                865,              583,              269,            1051,           724,           303,           1057,          756,          294,45079,Richland
45079000122, Ward 22                           ,            1128,          1069,            44,            1112,          1083,            29,            1088,          1031,            34,           1063,          973,           71,            808,          774,           29,           811,         770,          20,                969,              910,               49,            1011,           947,            52,           1019,          962,           54,45079,Richland
45079000439, Harbison 1                        ,            1541,          1033,           495,            1500,          1060,           440,            1483,           956,           420,           1459,          874,          542,           1124,          870,          254,          1124,         819,         276,               1389,              985,              369,            1587,          1172,           387,           1581,         1199,          361,45079,Richland
