GEOID20    , Name                              , T_10_CENS_Total, T_10_CENS_White, T_10_CENS_Hispanic, T_10_CENS_Black, T_10_CENS_Asian, T_10_CENS_Native, T_10_CENS_Pacific, T_18_ACS_Total, T_18_ACS_White, T_18_ACS_Hispanic, T_18_ACS_Black, T_18_ACS_Asian, T_18_ACS_Native, T_18_ACS_Pacific, T_19_ACS_Total, T_19_ACS_White, T_19_ACS_Hispanic, T_19_ACS_Black, T_19_ACS_Asian, T_19_ACS_Native, T_19_ACS_Pacific, T_20_CENS_Total, T_20_CENS_White, T_20_CENS_Hispanic, T_20_CENS_Black, T_20_CENS_Asian, T_20_CENS_Native, T_20_CENS_Pacific, T_20_ACS_Total, T_20_ACS_White, T_20_ACS_Hispanic, T_20_ACS_Black, T_20_ACS_Asian, T_20_ACS_Native, T_20_ACS_Pacific, T_22_ACS_Total, T_22_ACS_White, T_22_ACS_Hispanic, T_22_ACS_Black, T_22_ACS_Asian, T_22_ACS_Native, T_22_ACS_Pacific, V_10_VAP_Total, V_10_VAP_White, V_10_VAP_Hispanic, V_10_VAP_Black, V_10_VAP_Asian, V_10_VAP_Native, V_10_VAP_Pacific, V_18_CVAP_Total, V_18_CVAP_White, V_18_CVAP_Hispanic, V_18_CVAP_Black, V_18_CVAP_Asian, V_18_CVAP_Native, V_18_CVAP_Pacific, V_19_CVAP_Total, V_19_CVAP_White, V_19_CVAP_Hispanic, V_19_CVAP_Black, V_19_CVAP_Asian, V_19_CVAP_Native, V_19_CVAP_Pacific, V_20_VAP_Total, V_20_VAP_White, V_20_VAP_Hispanic, V_20_VAP_Black, V_20_VAP_Asian, V_20_VAP_Native, V_20_VAP_Pacific, V_20_VAP_NH_Total, V_20_VAP_NH_White, V_20_VAP_NH_Hispanic, V_20_VAP_NH_BlackAlone, V_20_VAP_NH_AsianAlone, V_20_VAP_NH_NativeAlone, V_20_VAP_NH_PacificAlone, V_20_VAP_NH_OtherAlone, V_20_VAP_NH_TwoOrMore, V_20_CVAP_Total, V_20_CVAP_White, V_20_CVAP_Hispanic, V_20_CVAP_Black, V_20_CVAP_Asian, V_20_CVAP_Native, V_20_CVAP_Pacific, V_22_CVAP_Total, V_22_CVAP_White, V_22_CVAP_Hispanic, V_22_CVAP_Black, V_22_CVAP_Asian, V_22_CVAP_Native, V_22_CVAP_Pacific, V_22_CVAP_RemTwoOrMore
45071000040, Stoney Hill                       ,             967,             885,                  2,              75,               1,                3,                 1,            926,            646,                 6,            271,              0,               0,                0,            976,            701,                12,            261,              0,               1,                0,            1083,             945,                 23,              85,               3,               21,                 1,            766,            618,                22,            126,              0,               0,                0,            938,            657,                 4,            271,              0,               6,                0,            757,            696,                 1,             55,              1,               3,                1,             771,             575,                  4,             189,               0,                0,                 0,             798,             598,                  4,             198,               0,                1,                 0,            875,            776,                15,             62,              2,              14,                0,               875,               776,                   15,                     55,                      2,                       5,                        0,                      8,                    14,             628,             556,                  3,              60,               0,                1,                 0,             737,             624,                  0,              89,               0,               10,                 0,                      0
45071000015, Fairview                          ,            1939,            1752,                 30,             146,               4,               12,                 8,           1796,           1630,                 7,            158,              0,               0,                0,           1836,           1735,                27,             60,              0,               0,                0,            2076,            1846,                 52,             123,               8,               42,                 0,           1868,           1760,                16,             74,              0,               4,                0,           1892,           1687,                35,            148,              0,               5,                0,           1575,           1443,                13,            113,              3,               8,                3,            1571,            1437,                  0,             128,               0,                0,                 0,            1576,            1514,                 12,              45,               0,                0,                 0,           1761,           1581,                31,            107,              5,              27,                0,              1761,              1581,                   31,                    101,                      3,                       1,                        0,                      1,                    43,            1534,            1475,                 19,             107,               0,                4,                 0,            1636,            1459,                 34,             122,               0,                4,                 0,                      0
45079000448, Kelly Mill                        ,            1656,             994,                 35,             597,              32,               19,                 0,           2079,           1153,                33,            801,              8,              12,                0,           2056,           1094,                29,            805,             17,              13,                0,            3420,            1482,                197,            1600,             109,               68,                11,           3157,           1367,                21,           1701,              0,               7,                0,           3820,           1690,               181,           1934,              0,              15,                0,           1151,            719,                18,            388,             21,              13,                0,            1552,             925,                 31,             586,               2,                8,                 0,            1571,             917,                 22,             622,               6,                8,                 0,           2457,           1124,               110,           1133,             68,              46,                8,              2457,              1124,                  110,                   1043,                     47,                       6,                        5,                      9,                   113,            2414,            1048,                 17,            1395,               0,                3,                 0,            2855,            1237,                 50,            1566,               0,                4,                 0,                      0
45079000126, Ward 26                           ,           15033,            8016,               2154,            4054,             799,              314,               176,          16370,           8443,              2824,           4486,            432,             490,              196,          17144,           8665,              3263,           4414,            674,             373,              216,           10666,            4832,               2322,            2898,             597,              143,                82,          17608,           8191,              3552,           5164,            801,             282,              225,          14339,           6413,              3225,           4343,           1003,             245,              123,          13759,           7469,              1966,           3561,            739,             267,              164,           13972,            7102,               2407,            3751,             234,              355,                65,           14312,            7405,               2551,            3639,             324,              285,                60,           8494,           3891,              1891,           2191,            491,             120,               71,              8494,              3891,                 1891,                   2039,                    394,                      75,                       25,                     11,                   168,           14795,            7331,               2642,            4044,             449,              195,                74,           12140,            5745,               2485,            3210,             383,              198,                30,                    105
45079000483, Pontiac 1                         ,            3847,            2132,                384,            1134,             201,               53,                21,           4335,           2040,               619,           1338,            367,              19,               65,           4290,           2009,               545,           1336,            379,              11,               99,            4592,            1963,                412,            1971,             227,               84,                18,           3519,           1667,               377,           1044,            390,               0,              130,           4531,           1746,               474,           1990,            317,              80,               15,           2839,           1635,               255,            804,            140,              38,               11,            3117,            1613,                266,             960,             209,                0,                40,            3093,            1575,                202,             974,             243,                0,                60,           3524,           1647,               265,           1405,            177,              53,               12,              3524,              1647,                  265,                   1329,                    149,                       5,                       10,                     14,                   105,            2714,            1528,                114,             794,             164,                0,                93,            3478,            1606,                106,            1677,             189,               23,                26,                     16
45079000484, Pontiac 2                         ,            1464,             811,                145,             429,              77,               18,                 6,           2036,           1062,               306,            525,            151,               0,                0,           2102,           1127,               284,            590,             92,               0,                5,            3436,            1500,                246,            1281,             365,               78,                 6,           2916,           1582,               356,            760,            224,               0,                9,           3650,           1630,               255,           1578,            184,              95,               22,           1082,            620,                96,            307,             55,              12,                4,            1349,             815,                 71,             383,              77,                0,                 0,            1394,             850,                 49,             434,              54,                0,                 2,           2545,           1182,               155,            934,            234,              50,                4,              2545,              1182,                  155,                    881,                    206,                       9,                        1,                     12,                    99,            1937,            1178,                 63,             538,             103,                0,                 1,            2553,            1264,                 60,            1066,              84,                0,                 4,                     29
45071000002, Newberry Ward 2                   ,            2221,            1661,                 93,             436,              26,               13,                 3,           2411,           1508,                98,            718,             31,               0,                6,           2316,           1305,                25,            898,             29,               5,                6,            2330,            1655,                291,             348,              15,               36,                 1,           2619,           1422,                63,           1099,             24,              17,                3,           2076,           1068,               150,            844,             21,              22,                4,           2010,           1502,                77,            400,             26,              13,                3,            1988,            1399,                 42,             533,              23,                0,                 0,            1988,            1258,                 16,             689,              24,                5,                 0,           2120,           1540,               257,            296,             11,              23,                0,              2120,              1540,                  257,                    284,                      7,                       0,                        0,                      0,                    32,            2200,            1342,                 41,             719,              16,               10,                 0,            1817,            1026,                 99,             632,              13,                5,                 0,                      0
45071000019, Kinards-Jalapa                    ,             739,             525,                 29,             178,               6,                1,                 0,            784,            534,                 7,            243,              0,               0,                0,            719,            401,                 5,            312,              0,               0,                0,             679,             482,                 26,             158,               0,               17,                 0,            785,            308,                 2,            476,              0,               0,                0,            578,            269,                 0,            306,              4,               1,                0,            582,            427,                21,            128,              5,               1,                0,             606,             396,                  0,             215,               0,                0,                 0,             572,             297,                  0,             276,               0,                0,                 0,            548,            399,                19,            114,              0,              15,                0,               548,               399,                   19,                    109,                      0,                       2,                        0,                      4,                    15,             681,             258,                  0,             438,               0,                0,                 0,             525,             254,                  0,             282,               0,                1,                 0,                      0
45071000042, St. Phillips-Jolly Street         ,            1535,             986,                128,             410,               2,                5,                 1,           1683,           1058,                97,            525,              0,               0,                0,           1863,           1140,               133,            590,              0,               0,                0,            1504,            1013,                125,             351,               1,               15,                 0,           2102,           1336,               153,            614,              0,               0,                0,           1861,           1415,               227,            219,              0,               1,                0,           1120,            762,                62,            286,              2,               4,                0,            1229,             800,                 27,             395,               0,                0,                 0,            1300,             848,                 32,             421,               0,                0,                 0,           1160,            789,                88,            269,              1,              12,                0,              1160,               789,                   88,                    262,                      1,                       1,                        0,                      1,                    18,            1591,            1080,                 48,             485,               0,                0,                 0,            1403,            1115,                 86,             217,               0,                0,                 0,                      0
45071000027, Mt. Bethel-Garmany                ,            2437,             869,                628,             963,               2,               12,                 0,           2652,           1073,               732,            818,              1,              19,                0,           2629,            889,               784,            945,              0,               4,                0,            2131,             797,                463,             839,              15,               35,                 4,           2302,            722,               601,            975,              0,               5,                0,           2000,            728,               323,            960,              0,              28,                0,           1758,            724,               353,            688,              2,              10,                0,            1617,             898,                 61,             648,               1,                9,                 0,            1504,             783,                 35,             688,               0,                5,                 0,           1599,            649,               290,            636,             13,              19,                4,              1599,               649,                  290,                    611,                      7,                       7,                        0,                      3,                    32,            1345,             583,                 18,             734,               0,                9,                 0,            1371,             558,                 37,             749,               0,                0,                 0,                      0
45079000480, Pine Lakes 2                      ,            2514,             323,                116,            2067,              36,               14,                 7,           3013,            189,               332,           2531,              9,               7,                0,           2578,            181,               302,           2121,              7,               0,                2,            2522,             372,                108,            2008,              27,               43,                 7,           3723,            109,               278,           3349,             13,              67,                0,           3685,            157,                29,           3527,              0,              83,                0,           1764,            278,                76,           1400,             25,               9,                3,            2217,             164,                 66,            1972,               3,                9,                 0,            1663,             179,                 72,            1402,               9,                0,                 0,           1896,            312,                71,           1484,             21,              31,                2,              1896,               312,                   71,                   1426,                     13,                       8,                        2,                      8,                    56,            2070,             110,                 36,            1881,              22,               65,                 0,            1833,             156,                 13,            1656,               3,               85,                 0,                      0
45079000479, Pine Lakes 1                      ,            1700,             218,                 82,            1398,              22,               11,                 4,           1711,            116,                96,           1549,             13,              11,                0,           1435,             96,                90,           1292,             11,               0,                0,            1810,             200,                 70,            1530,              14,               23,                 2,           1502,             81,               101,           1343,             25,               0,                0,           1351,             81,                45,           1270,              1,               0,                0,           1194,            186,                50,            945,             17,               8,                1,            1313,             116,                 88,            1098,               7,               11,                 0,            1082,              96,                 83,             898,              11,                0,                 0,           1326,            165,                52,           1101,             12,              10,                2,              1326,               165,                   52,                   1066,                      7,                       2,                        2,                      4,                    28,            1105,              87,                114,             911,              20,                0,                 0,             997,              79,                 32,             889,               1,                0,                 0,                      0
45079000102, Ward 2                            ,            1017,             371,                 49,             546,              55,                9,                 4,            844,            455,                18,            312,             44,              20,                0,            914,            554,                22,            276,             49,              10,                0,            2394,            1588,                139,             482,             165,               38,                 1,           1124,            536,                28,            399,             96,              11,                0,           1575,            812,                93,            540,            107,               0,                0,            980,            362,                45,            521,             52,               9,                2,             773,             448,                 16,             273,              17,               19,                 0,             853,             567,                 21,             236,              17,               11,                 0,           2333,           1565,               133,            462,            158,              26,                1,              2333,              1565,                  133,                    430,                    128,                       0,                        1,                      4,                    72,             998,             625,                 23,             328,              17,               20,                 0,            1399,             914,                 18,             435,              21,                0,                 0,                     33
45079000455, Lykesland                         ,            2423,            1179,                 88,            1114,              59,               17,                 3,           2807,           1078,               164,           1543,              0,               7,               34,           2695,           1022,               194,           1445,             18,               9,               25,            2531,             954,                 92,            1412,              57,               51,                 5,           2796,           1015,               138,           1572,             43,              15,               15,           2927,            946,               230,           1644,             20,             135,               28,           1943,           1014,                70,            820,             50,              10,                3,            2264,             855,                112,            1252,               0,                7,                35,            2243,             846,                129,            1222,              19,               10,                25,           2070,            851,                62,           1098,             41,              33,                1,              2070,               851,                   62,                   1057,                     29,                       4,                        0,                      9,                    58,            2233,             893,                 73,            1209,              41,               16,                 0,            2197,             861,                 83,            1129,              17,               84,                 0,                      8
45079000507, Trinity                           ,            2001,             796,                 68,            1101,              37,               19,                 1,           2085,            668,               112,           1219,             41,              51,                0,           1946,            693,                82,           1064,             44,              65,                0,            2530,             853,                218,            1379,              90,               42,                11,           2264,            542,               136,           1491,             30,              57,               17,           2376,            659,                91,           1500,              9,             159,               32,           1559,            692,                49,            780,             32,              14,                1,            1740,             611,                 98,             941,              36,               52,                 0,            1751,             650,                 71,             922,              36,               66,                 0,           1928,            727,               145,            974,             70,              32,                3,              1928,               727,                  145,                    929,                     57,                       3,                        1,                      7,                    59,            1891,             552,                 99,            1130,              29,               51,                30,            1813,             673,                 87,             919,              12,              100,                60,                      1
