GEOID20    , Name                              , T_10_CENS_Total, T_10_CENS_White, T_10_CENS_Hispanic, T_10_CENS_Black, T_10_CENS_Asian, T_10_CENS_Native, T_10_CENS_Pacific, T_18_ACS_Total, T_18_ACS_White, T_18_ACS_Hispanic, T_18_ACS_Black, T_18_ACS_Asian, T_18_ACS_Native, T_18_ACS_Pacific, T_19_ACS_Total, T_19_ACS_White, T_19_ACS_Hispanic, T_19_ACS_Black, T_19_ACS_Asian, T_19_ACS_Native, T_19_ACS_Pacific, T_20_CENS_Total, T_20_CENS_White, T_20_CENS_Hispanic, T_20_CENS_Black, T_20_CENS_Asian, T_20_CENS_Native, T_20_CENS_Pacific, T_20_ACS_Total, T_20_ACS_White, T_20_ACS_Hispanic, T_20_ACS_Black, T_20_ACS_Asian, T_20_ACS_Native, T_20_ACS_Pacific, T_22_ACS_Total, T_22_ACS_White, T_22_ACS_Hispanic, T_22_ACS_Black, T_22_ACS_Asian, T_22_ACS_Native, T_22_ACS_Pacific, V_10_VAP_Total, V_10_VAP_White, V_10_VAP_Hispanic, V_10_VAP_Black, V_10_VAP_Asian, V_10_VAP_Native, V_10_VAP_Pacific, V_18_CVAP_Total, V_18_CVAP_White, V_18_CVAP_Hispanic, V_18_CVAP_Black, V_18_CVAP_Asian, V_18_CVAP_Native, V_18_CVAP_Pacific, V_19_CVAP_Total, V_19_CVAP_White, V_19_CVAP_Hispanic, V_19_CVAP_Black, V_19_CVAP_Asian, V_19_CVAP_Native, V_19_CVAP_Pacific, V_20_VAP_Total, V_20_VAP_White, V_20_VAP_Hispanic, V_20_VAP_Black, V_20_VAP_Asian, V_20_VAP_Native, V_20_VAP_Pacific, V_20_VAP_NH_Total, V_20_VAP_NH_White, V_20_VAP_NH_Hispanic, V_20_VAP_NH_BlackAlone, V_20_VAP_NH_AsianAlone, V_20_VAP_NH_NativeAlone, V_20_VAP_NH_PacificAlone, V_20_VAP_NH_OtherAlone, V_20_VAP_NH_TwoOrMore, V_20_CVAP_Total, V_20_CVAP_White, V_20_CVAP_Hispanic, V_20_CVAP_Black, V_20_CVAP_Asian, V_20_CVAP_Native, V_20_CVAP_Pacific, V_22_CVAP_Total, V_22_CVAP_White, V_22_CVAP_Hispanic, V_22_CVAP_Black, V_22_CVAP_Asian, V_22_CVAP_Native, V_22_CVAP_Pacific, V_22_CVAP_RemTwoOrMore
45079000401, Ardincaple                        ,             430,               7,                 11,             410,               0,                4,                 0,            635,             13,                 0,            617,              0,               6,                0,            810,             21,                 0,            788,              0,               0,                0,             944,              38,                  5,             899,               0,                5,                 1,           1121,             24,                 0,           1096,              0,               0,                0,           1076,             31,                 0,           1045,              0,               4,                0,            340,              7,                 6,            325,              0,               4,                0,             415,              13,                  0,             398,               0,                7,                 0,             505,              20,                  0,             482,               0,                0,                 0,            584,             31,                 2,            547,              0,               5,                0,               584,                31,                    2,                    534,                      0,                       3,                        0,                      1,                    13,             743,              22,                  0,             721,               0,                0,                 0,             671,              32,                  0,             638,               0,                4,                 0,                      3
45079000132, Ward 32                           ,            1345,              27,                 12,            1297,               7,               20,                 2,           1429,             43,                 2,           1339,             34,              36,                0,           1418,             46,                 2,           1357,              1,              29,                0,            1205,              36,                 17,            1147,              14,               16,                 3,           1370,            195,                 5,           1151,              5,              37,                0,           1217,            258,                 7,            926,             40,              31,                0,            967,             19,                 5,            935,              5,              12,                0,             955,              40,                  1,             902,               1,               17,                 0,             979,              45,                  1,             920,               1,               15,                 0,            985,             34,                15,            935,              9,              11,                1,               985,                34,                   15,                    911,                      9,                       1,                        0,                      0,                    15,            1075,              47,                  2,             973,               3,               28,                 0,            1029,              58,                  6,             817,              11,               17,                 0,                     19
45079000458, Meadowlake                        ,            3391,             256,                 96,            3050,               4,               19,                 0,           4323,            517,               105,           3662,             22,              81,               11,           4141,            604,                96,           3382,             32,              73,               10,            3678,             561,                242,            2890,              10,               39,                 8,           3881,            540,                88,           3215,             21,              16,               11,           3620,            344,                69,           3162,             14,              16,                6,           2680,            251,                64,           2370,              2,              16,                0,            3510,             515,                105,            2839,              20,               52,                10,            3510,             600,                 90,            2750,              30,               34,                10,           3167,            539,               179,           2449,              3,              29,                5,              3167,               539,                  179,                   2398,                      0,                       8,                        2,                      1,                    40,            3372,             538,                 79,            2710,              20,               15,                10,            2940,             345,                 60,            2504,              15,               14,                 4,                      4
45079000446, Keels 2                           ,            2775,             542,                162,            2015,              86,               21,                 6,           3158,            418,               168,           2522,             93,              29,                0,           3161,            321,               160,           2598,            160,              44,                0,            2846,             300,                254,            2291,              54,               28,                 4,           3257,            276,                82,           2816,            141,              35,                0,           3330,            269,                93,           2930,            113,              77,                0,           2129,            495,               108,           1475,             67,              16,                5,            2220,             409,                 75,            1690,              45,               12,                 0,            2088,             312,                 70,            1651,              55,               15,                 0,           2241,            270,               229,           1747,             53,              27,                4,              2241,               270,                  229,                   1638,                     40,                       2,                        0,                      8,                    54,            2176,             269,                 38,            1802,              66,               18,                 0,            2203,             261,                 58,            1859,              28,               45,                 0,                      0
45079000426, Fairlawn                          ,            4445,            1106,                434,            2885,              39,               44,                10,           4547,            964,               300,           3371,             91,              12,                0,           4884,           1005,               690,           3321,             58,               3,                0,            4466,             897,                499,            3084,              68,               78,                13,           5048,           1360,               582,           3219,             70,              13,                0,           4654,           1346,               623,           2703,             67,              47,                0,           3322,            953,               276,           2075,             28,              34,                5,            3211,             874,                 67,            2240,              29,               12,                 0,            3075,             869,                143,            2041,              14,                3,                 0,           3567,            777,               357,           2426,             55,              64,                8,              3567,               777,                  357,                   2284,                     28,                      13,                        0,                      6,                   102,            3631,            1148,                113,            2341,               0,                9,                 0,            3568,            1136,                193,            2200,               0,               17,                 0,                     10
45079000129, Ward 29                           ,            2217,             274,                 88,            1850,              16,               31,                 3,           2227,            228,               106,           1891,             33,               0,                0,           2010,            278,               100,           1630,             28,               0,                0,            2030,             231,                 51,            1727,              18,               20,                 8,           1935,            247,                17,           1661,              0,              11,                0,           2078,            227,                11,           1799,              0,              17,               31,           1652,            248,                58,           1343,              9,              16,                1,            1700,             177,                 69,            1457,               0,                0,                 0,            1463,             217,                 64,            1186,               0,                0,                 0,           1631,            224,                36,           1356,             15,              14,                8,              1631,               224,                   36,                   1312,                     12,                       0,                        3,                      0,                    44,            1451,             218,                  0,            1213,               0,               12,                 0,            1624,             227,                 10,            1341,               0,                3,                14,                      0
45071000005, Newberry Ward 4                   ,             897,             162,                 62,             659,               9,                9,                 0,            964,            126,                55,            784,             53,               0,                0,           1076,            184,                57,            835,             67,               0,                0,             857,             139,                100,             609,               4,               25,                 0,            966,            177,                12,            777,              0,               0,                0,           1118,            344,               191,            579,              0,               2,                0,            719,            139,                38,            531,              9,               6,                0,             619,             127,                  2,             477,               0,                0,                 0,             882,             182,                  0,             682,               0,                0,                 0,            652,            112,                51,            482,              4,              19,                0,               652,               112,                   51,                    453,                      0,                       4,                        0,                      0,                    32,             839,             120,                  0,             720,               0,                8,                 0,             830,             261,                  2,             560,               0,                4,                 0,                      0
45071000020, Johnstone                         ,             978,             631,                105,             239,               1,               12,                 0,           1196,            532,               392,            215,              0,              54,                0,           1290,            560,               448,            270,              0,               9,                0,             934,             512,                163,             233,               9,               37,                 0,           1006,            472,               219,            299,              0,              14,                0,           1224,            670,               138,            410,              0,               9,                0,            716,            497,                55,            160,              1,               6,                0,             676,             481,                  0,             170,               0,               29,                 0,             642,             474,                  0,             156,               0,                9,                 0,            729,            433,               100,            171,              5,              33,                0,               729,               433,                  100,                    167,                      3,                       8,                        0,                      1,                    17,             588,             420,                  0,             126,               0,               21,                 0,             828,             551,                 32,             190,               0,               13,                 0,                      0
45071000001, Newberry Ward 1                   ,             754,             365,                 75,             314,               2,                1,                 0,            586,            218,                29,            336,              9,               0,                0,            580,            192,                19,            366,              5,               0,                0,             724,             299,                 97,             316,               9,               34,                 3,            566,            212,               111,            239,              2,               2,                0,            638,            205,               220,            204,              2,               2,                0,            569,            307,                47,            215,              1,               1,                0,             446,             195,                 15,             229,               5,                0,                 0,             451,             176,                  8,             264,               6,                0,                 0,            532,            249,                60,            216,              3,              21,                2,               532,               249,                   60,                    206,                      1,                       0,                        0,                      1,                    15,             344,             190,                  4,             235,               8,                0,                 0,             350,             185,                 19,             194,               7,                0,                 0,                      0
45071000034, Peak                              ,             171,             146,                  0,              23,               1,                1,                 0,            149,            115,                28,              4,              0,               0,                0,            123,            112,                 0,              5,              7,               0,                0,             157,             126,                  3,              23,               2,                3,                 0,            138,            123,                 0,              8,              5,               0,                0,            158,            141,                 0,             10,              5,               0,                0,            141,            120,                 0,             19,              1,               1,                0,             112,             104,                  3,               3,               0,                0,                 0,             105,              97,                  0,               3,               4,                0,                 0,            126,            109,                 2,             12,              0,               2,                0,               126,               109,                    2,                     12,                      0,                       0,                        0,                      1,                     2,             119,             117,                  0,               4,               0,                0,                 0,             135,             134,                  1,               5,               0,                0,                 0,                      0
